id,name,population,dummycol
CHN,China,1330141295,1
IND,India,1173108018,2
USA,United States,310232863,3
IDN,Indonesia,242968342,4
BRA,Brazil,201103330,5
PAK,Pakistan,177276594,6
BGD,Bangladesh,158065841,7
NGA,Nigeria,152217341,8
RUS,Russia,139390205,9
JPN,Japan,126804433,10
MEX,Mexico,112468855,11
PHL,Philippines,99900177,12
VNM,Vietnam,89571130,13
ETH,Ethiopia,88013491,14
DEU,Germany,82282988,15
EGY,Egypt,80471869,16
TUR,Turkey,77804122,17
COD,"Congo, Democratic Republic of the",70916439,18
IRN,Iran,67037517,19
THA,Thailand,66404688,20
FRA,France,64057792,21
GBR,United Kingdom,61284806,22
ITA,Italy,58090681,23
MMR,Burma,53414374,24
ZAF,South Africa,49109107,25
KOR,"Korea, South",48636068,26
UKR,Ukraine,45415596,27
COL,Colombia,44205293,28
SDN,Sudan,41980182,29
TZA,Tanzania,41892895,30
ARG,Argentina,41343201,31
ESP,Spain,40548753,32
KEN,Kenya,40046566,33
POL,Poland,38463689,34
DZA,Algeria,34586184,35
CAN,Canada,33759742,36
UGA,Uganda,33398682,37
MAR,Morocco,31627428,38
PER,Peru,29907003,39
IRQ,Iraq,29671605,40
SAU,Saudi Arabia,29207277,41
AFG,Afghanistan,29121286,42
NPL,Nepal,28951852,43
UZB,Uzbekistan,27865738,44
VEN,Venezuela,27223228,45
MYS,Malaysia,26160256,46
GHA,Ghana,24339838,47
YEM,Yemen,23495361,48
TWN,Taiwan,23024956,49
PRK,"Korea, North",22757275,50
SYR,Syria,22198110,51
ROU,Romania,22181287,52
MOZ,Mozambique,22061451,53
AUS,Australia,21515754,54
LKA,Sri Lanka,21513990,55
MDG,Madagascar,21281844,56
CIV,Cote d'Ivoire,21058798,57
CMR,Cameroon,19294149,58
NLD,Netherlands,16783092,59
CHL,Chile,16746491,60
BFA,Burkina Faso,16241811,61
NER,Niger,15878271,62
KAZ,Kazakhstan,15460484,63
MWI,Malawi,15447500,64
ECU,Ecuador,14790608,65
KHM,Cambodia,14753320,66
SEN,Senegal,14086103,67
MLI,Mali,13796354,68
GTM,Guatemala,13550440,69
AGO,Angola,13068161,70
ZMB,Zambia,12056923,71
ZWE,Zimbabwe,11651858,72
CUB,Cuba,11477459,73
RWA,Rwanda,11055976,74
GRC,Greece,10749943,75
PRT,Portugal,10735765,76
TUN,Tunisia,10589025,77
TCD,Chad,10543464,78
BEL,Belgium,10423493,79
GIN,Guinea,10324025,80
CZE,Czech Republic,10201707,81
SOM,Somalia,10112453,82
BOL,Bolivia,9947418,83
HUN,Hungary,9880059,84
BDI,Burundi,9863117,85
DOM,Dominican Republic,9794487,86
BLR,Belarus,9612632,87
HTI,Haiti,9203083,88
SWE,Sweden,9074055,89
BEN,Benin,9056010,90
AZE,Azerbaijan,8303512,91
AUT,Austria,8214160,92
HND,Honduras,7989415,93
CHE,Switzerland,7623438,94
TJK,Tajikistan,7487489,95
ISR,Israel,7353985,96
SRB,Serbia,7344847,97
BGR,Bulgaria,7148785,98
HKG,Hong Kong,7089705,99
LAO,Laos,6993767,100
LBY,Libya,6461454,101
JOR,Jordan,6407085,102
PRY,Paraguay,6375830,103
TGO,Togo,6199841,104
PNG,Papua New Guinea,6064515,105
SLV,El Salvador,6052064,106
NIC,Nicaragua,5995928,107
ERI,Eritrea,5792984,108
DNK,Denmark,5515575,109
KGZ,Kyrgyzstan,5508626,110
SVK,Slovakia,5470306,111
FIN,Finland,5255068,112
SLE,Sierra Leone,5245695,113
ARE,United Arab Emirates,4975593,114
TKM,Turkmenistan,4940916,115
CAF,Central African Republic,4844927,116
SGP,Singapore,4701069,117
NOR,Norway,4676305,118
BIH,Bosnia and Herzegovina,4621598,119
GEO,Georgia,4600825,120
CRI,Costa Rica,4516220,121
HRV,Croatia,4486881,122
MDA,Moldova,4317483,123
NZL,New Zealand,4252277,124
IRL,Ireland,4250163,125
COG,"Congo, Republic of the",4125916,126
LBN,Lebanon,4125247,127
PRI,Puerto Rico,3977663,128
LBR,Liberia,3685076,129
ALB,Albania,3659616,130
LTU,Lithuania,3545319,131
URY,Uruguay,3510386,132
PAN,Panama,3410676,133
MRT,Mauritania,3205060,134
MNG,Mongolia,3086918,135
OMN,Oman,2967717,136
ARM,Armenia,2966802,137
JAM,Jamaica,2847232,138
KWT,Kuwait,2789132,139
PSE,West Bank,2514845,140
LVA,Latvia,2217969,141
NAM,Namibia,2128471,142
MKD,Macedonia,2072086,143
BWA,Botswana,2029307,144
SVN,Slovenia,2003136,145
LSO,Lesotho,1919552,146
GMB,"Gambia, The",1824158,147
KWT,Kosovo,1815048,148
149,Gaza Strip,1604238,149
GNB,Guinea-Bissau,1565126,150
GAB,Gabon,1545255,151
SWZ,Swaziland,1354051,152
153,Mauritius,1294104,153
EST,Estonia,1291170,154
TTO,Trinidad and Tobago,1228691,155
TLS,Timor-Leste,1154625,156
CYP,Cyprus,1102677,157
FJI,Fiji,957780,158
QAT,Qatar,840926,159
160,Comoros,773407,160
GUY,Guyana,748486,161
DJI,Djibouti,740528,162
163,Bahrain,738004,163
BTN,Bhutan,699847,164
MNE,Montenegro,666730,165
GNQ,Equatorial Guinea,650702,166
SLB,Solomon Islands,609794,167
168,Macau,567957,168
169,Cape Verde,508659,169
LUX,Luxembourg,497538,170
ESH,Western Sahara,491519,171
SUR,Suriname,486618,172
173,Malta,406771,173
174,Maldives,395650,174
BRN,Brunei,395027,175
BLZ,Belize,314522,176
BHS,"Bahamas, The",310426,177
ISL,Iceland,308910,178
179,French Polynesia,291000,179
180,Barbados,285653,180
181,Mayotte,231139,181
NCL,New Caledonia,229993,182
183,Netherlands Antilles,228693,183
VUT,Vanuatu,221552,184
185,Samoa,192001,185
186,Sao Tome and Principe,175808,186
187,Saint Lucia,160922,187
188,Tonga,122580,188
189,Virgin Islands,109775,189
190,Grenada,107818,190
191,"Micronesia, Federated States of",107154,191
192,Aruba,104589,192
193,Saint Vincent and the Grenadines,104217,193
194,Kiribati,99482,194
195,Jersey,91812,195
196,Seychelles,88340,196
197,Antigua and Barbuda,86754,197
198,Andorra,84525,198
199,Isle of Man,76913,199
DOM,Dominica,72813,200
201,Bermuda,68268,201
202,American Samoa,66432,202
203,Marshall Islands,65859,203
204,Guernsey,65632,204
GRL,Greenland,57637,205
206,Cayman Islands,50209,206
207,Saint Kitts and Nevis,49898,207
208,Faroe Islands,49057,208
209,Northern Mariana Islands,48317,209
210,Liechtenstein,35002,210
211,San Marino,31477,211
212,Monaco,30586,212
213,Saint Martin,30235,213
214,Gibraltar,28877,214
215,British Virgin Islands,24939,215
216,Turks and Caicos Islands,23528,216
217,Palau,20879,217
218,Akrotiri,15700,218
219,Dhekelia,15700,219
220,Wallis and Futuna,15343,220
221,Anguilla,14764,221
222,Nauru,14264,222
223,Cook Islands,11488,223
224,Tuvalu,10472,224
225,"Saint Helena, Ascension, and Tristan da Cunha",7670,225
226,Saint Barthelemy,7406,226
227,Saint Pierre and Miquelon,6010,227
228,Montserrat,5118,228
FLK,Falkland Islands (Islas Malvinas),3140,229
230,Norfolk Island,2155,230
231,Svalbard,2067,231
232,Christmas Island,1402,232
233,Tokelau,1400,233
234,Niue,1354,234
235,Holy See (Vatican City),829,235
236,Cocos (Keeling) Islands,596,236
237,Pitcairn Islands,48,237
ATA,Antarctica,0,238
ATF,French Southern and Antarctic Lands,0,239
SDS,South Sudan,12152321,240
ABV,Somaliland,3500000,241
OSA,Kosovo,1824000,242
